5,0.000052,9
50,0.000215,200
100,0.000209,792
200,0.000205,1154
300,0.000363,2101
400,0.000547,3568
500,0.002132,5403
600,0.001672,6118
700,0.002365,8058
800,0.002661,8677
900,0.002737,8410
1000,0.003531,8373
1500,0.006916,14857
2000,0.011574,18350
2500,0.016852,23724
3000,0.024097,34056
4000,0.044393,39137
5000,0.070888,53414
6000,0.093542,72269
7000,0.129746,95934
8000,0.163421,90794
9000,0.231004,105245
5,0.001399,7
50,0.002925,315
100,0.000701,521
200,0.001048,1307
300,0.000940,2267
400,0.002614,5266
500,0.000879,3580
600,0.001428,4950
700,0.002045,8734
800,0.001997,7504
900,0.002714,9586
1000,0.003321,9336
1500,0.006262,11708
2000,0.011682,24309
2500,0.016590,24773
3000,0.023144,33509
4000,0.043745,38667
5000,0.062885,49926
6000,0.093586,60897
7000,0.124240,70504
8000,0.169487,82826
9000,0.226323,101933
5,0.001099,11
50,0.000634,225
100,0.000419,486
200,0.002007,1200
300,0.001453,1984
400,0.002156,2967
500,0.001027,3332
600,0.001455,3983
700,0.001924,5612
800,0.002155,7997
900,0.003012,7888
1000,0.002955,10203
1500,0.007005,12126
2000,0.011038,18016
2500,0.017534,22602
3000,0.023779,41424
4000,0.040199,41818
5000,0.066679,49750
6000,0.094212,66322
7000,0.135013,70678
8000,0.166431,85777
9000,0.219118,86334
5,0.000507,12
50,0.000725,306
100,0.000933,541
200,0.001193,1603
300,0.001027,2003
400,0.000941,3621
500,0.001143,4581
600,0.001347,3899
700,0.001953,5583
800,0.002137,7122
900,0.002776,8910
1000,0.003149,10999
1500,0.007228,14323
2000,0.011037,20839
2500,0.015545,21257
3000,0.022195,28983
4000,0.041097,51233
5000,0.061192,67298
6000,0.094356,57620
7000,0.123123,69094
8000,0.168944,101964
9000,0.212304,101128
5,0.000443,10
50,0.000508,243
100,0.000481,493
200,0.001009,1640
300,0.001099,2450
400,0.001017,2736
500,0.000932,4081
600,0.001978,6511
700,0.001788,6522
800,0.002044,6236
900,0.002906,9414
1000,0.002808,7464
1500,0.006670,12909
2000,0.010282,20753
2500,0.016248,30576
3000,0.023963,38444
4000,0.042221,42727
5000,0.062362,68089
6000,0.095522,74924
7000,0.123184,78706
8000,0.167829,106278
9000,0.220571,96759
5,0.000432,5
50,0.002403,276
100,0.000395,758
200,0.001296,1371
300,0.001224,2594
400,0.001146,4112
500,0.000916,4688
600,0.002765,5488
700,0.002071,7240
800,0.002383,7236
900,0.002680,5952
1000,0.002974,9749
1500,0.006570,12474
2000,0.010497,19216
2500,0.016493,32724
3000,0.024047,34571
4000,0.039269,32345
5000,0.061143,50342
6000,0.093217,56710
7000,0.147039,67674
8000,0.181332,122138
9000,0.218341,90080
5,0.000634,8
50,0.000631,333
100,0.000655,589
200,0.003173,1122
300,0.001888,2018
400,0.002344,2579
500,0.001088,3222
600,0.002795,5039
700,0.002392,6319
800,0.002483,8496
900,0.002614,7086
1000,0.003802,10845
1500,0.006521,13407
2000,0.011457,18876
2500,0.015878,21821
3000,0.027485,32542
4000,0.043530,44360
5000,0.065133,55939
6000,0.095007,57957
7000,0.134197,108393
8000,0.172747,103372
9000,0.226931,94098
